Species,Family,Subfamily,Life,Habitat,HabitatLife,SVL,Hum_Length,Hum_CSA,Hum_Imin,Hum_SMA,Hum_COM,Fem_Length,Fem_CSA,Fem_Imin,Fem_SMA,Fem_COM
Ambystoma_dumerilii,Ambystomatidae,Ambystomatinae,pd,Aq,Aq_pd,124.02,16.83,1.34,0.17,1.19,0.99,16.38,1.83,0.37,1.41,0.96
Ambystoma_mabeei,Ambystomatidae,Ambystomatinae,bi,T,T_bi,62.05,5.75,0.23,0.00,1.21,0.98,6.92,0.38,0.03,2.31,0.67
Ambystoma_maculatum,Ambystomatidae,Ambystomatinae,bi,T,T_bi,81.42,9.52,0.83,0.07,1.24,0.99,9.34,1.16,0.16,1.53,0.97
Ambystoma_mavortium,Ambystomatidae,Ambystomatinae,bi,T,T_bi,100.18,14.88,1.27,0.14,1.11,1.00,12.98,1.36,0.24,1.61,1.00
Ambystoma_mexicanum,Ambystomatidae,Ambystomatinae,pd,Aq,Aq_pd,83.53,9.55,1.08,0.12,1.24,1.00,8.33,1.03,0.11,1.28,0.98
Ambystoma_ordinarium,Ambystomatidae,Ambystomatinae,pd,Aq,Aq_pd,69.49,9.40,0.44,0.02,1.25,0.99,8.82,0.53,0.03,1.26,0.96
Ambystoma_rosaceum,Ambystomatidae,Ambystomatinae,pd,Aq,Aq_pd,43.34,5.24,0.23,0.01,1.27,0.96,5.15,0.27,0.01,1.45,0.93
Ambystoma_talpoideum,Ambystomatidae,Ambystomatinae,bi,T,T_bi,62.49,6.05,0.28,0.01,1.15,0.95,6.99,0.35,0.01,1.21,0.97
Ambystoma_tigrinum,Ambystomatidae,Ambystomatinae,bi,T,T_bi,64.77,8.96,0.52,0.03,1.24,0.98,7.41,0.51,0.03,1.38,0.94
Amphiuma_tridactylum,Amphiumidae,Amphiuminae,pd,Aq,Aq_pd,384.49,4.15,0.13,0.00,1.45,0.91,6.35,0.21,0.01,1.64,0.80
Andrias_japonicus,Cryptobranchidae,Cryptobranchinae,pd,Aq,Aq_pd,599.80,49.24,43.67,179.01,1.18,1.00,49.58,44.01,190.60,1.24,1.00
Aneides_aeneus,Plethodontidae,Plethodontinae,dd,T,T_dd,47.64,6.68,0.19,0.01,2.21,0.68,7.06,0.24,0.01,2.02,0.70
Aneides_ferreus,Plethodontidae,Plethodontinae,dd,T,T_dd,61.23,6.18,0.20,0.01,2.10,0.75,6.88,0.25,0.01,1.90,0.74
Aneides_flavipunctatus,Plethodontidae,Plethodontinae,dd,T,T_dd,62.38,6.15,0.23,0.01,1.87,0.81,6.49,0.29,0.01,1.19,0.97
Aneides_hardii,Plethodontidae,Plethodontinae,dd,T,T_dd,49.10,4.86,0.16,0.00,1.67,0.80,4.91,0.18,0.00,1.61,0.83
Aneides_lugubris,Plethodontidae,Plethodontinae,dd,T,T_dd,60.52,7.30,0.26,0.01,2.55,0.64,8.00,0.30,0.01,2.08,0.67
Aneides_vagrans,Plethodontidae,Plethodontinae,dd,T,T_dd,62.04,6.34,0.27,0.01,1.66,0.82,7.01,0.35,0.01,1.50,0.83
Aquiloeurycea_cephalica,Plethodontidae,Hemidactyliinae,dd,T,T_dd,50.62,6.29,0.21,0.00,1.25,0.96,6.41,0.22,0.01,1.28,0.93
Aquiloeurycea_galeanae,Plethodontidae,Hemidactyliinae,dd,T,T_dd,51.20,6.42,0.20,0.00,1.16,0.99,6.30,0.23,0.00,1.16,0.99
