accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
0; 0; 2; 0; 958; 402.29
0; 2; 0; 0; 958; 402.29
0; 0; 5; 0; 958; 402.29
0; 4; 0; 0; 958; 402.29
0; 2; 0; 0; 958; 402.29
0; 0; 2; 0; 958; 402.29
0; 0; 5; 0; 958; 402.29
0; 5; 0; 0; 958; 402.29
0; 0; 2; 0; 958; 402.29
0; 0; 3; 0; 958; 402.29
1; 0; 0; 1; 958; 402.29
0; 0; 5; 0; 958; 402.29
0; 0; 4; 0; 958; 402.29
0; 2; 0; 0; 958; 402.29
0; 4; 0; 0; 958; 402.29
0; 5; 0; 0; 958; 402.29
1; 0; 0; 1; 958; 402.29
0; 5; 0; 0; 958; 402.29
0; 0; 4; 0; 958; 402.29
0; 3; 0; 0; 958; 402.29
0; 0; 4; 0; 958; 402.29
0; 0; 5; 0; 958; 402.29
0; 0; 2; 0; 958; 402.29
0; 0; 1; 0; 958; 402.29
0; 4; 0; 0; 958; 402.29
0; 0; 2; 0; 958; 402.29
0; 3; 0; 0; 958; 402.29
0; 5; 0; 0; 958; 402.29
0; 0; 4; 0; 958; 402.29
0; 2; 0; 0; 958; 402.29
0; 0; 4; 0; 958; 402.29
0; 0; 1; 0; 958; 402.29
0; 2; 0; 0; 958; 402.29
0; 0; 1; 0; 958; 402.29
0; 2; 0; 0; 958; 402.29
0; 4; 0; 0; 958; 402.29
0; 0; 1; 0; 958; 402.29
0; 4; 0; 0; 958; 402.29
0; 0; 2; 0; 958; 402.29
0; 0; 3; 0; 958; 402.29
0; 0; 1; 0; 958; 402.29
0; 0; 4; 0; 958; 402.29
0; 3; 0; 0; 958; 402.29
0; 0; 2; 0; 958; 402.29
0; 0; 1; 0; 958; 402.29
0; 0; 2; 0; 958; 402.29
0; 4; 0; 0; 958; 402.29
0; 0; 1; 0; 958; 402.29
0; 0; 3; 0; 958; 402.29
0; 0; 1; 0; 958; 402.29
0; 0; 2; 0; 958; 401.92
0; 0; 1; 0; 958; 401.92
0; 0; 3; 0; 958; 401.92
0; 2; 0; 0; 958; 401.92
0; 3; 0; 0; 958; 401.92
0; 0; 2; 0; 958; 401.92
0; 0; 5; 0; 958; 401.92
0; 0; 2; 0; 958; 401.92
0; 0; 2; 0; 958; 401.92
0; 0; 4; 0; 958; 401.92
0; 5; 0; 0; 958; 401.92
0; 0; 4; 0; 958; 401.92
0; 0; 2; 0; 958; 401.92
1; 0; 0; 1; 958; 401.92
0; 2; 0; 0; 958; 401.92
0; 0; 3; 0; 958; 401.92
0; 0; 1; 0; 958; 401.92
0; 4; 0; 0; 958; 401.92
0; 2; 0; 0; 958; 401.92
1; 0; 0; 1; 507; 402
0; 1; 0; 0; 507; 402
0; 0; 5; 0; 507; 402
0; 3; 0; 0; 507; 402
0; 0; 5; 0; 507; 402
0; 0; 2; 0; 507; 402
0; 0; 1; 0; 958; 408.152
0; 0; 4; 0; 958; 408.152
0; 0; 3; 0; 958; 408.152
0; 3; 0; 0; 958; 408.152
0; 1; 0; 0; 958; 408.152
1; 0; 0; 1; 958; 408.152
0; 0; 3; 0; 958; 408.152
1; 0; 0; 1; 958; 408.152
0; 3; 0; 0; 958; 408.152
0; 5; 0; 0; 958; 408.152
0; 0; 2; 0; 958; 408.152
0; 0; 5; 0; 958; 408.152
0; 1; 0; 0; 958; 408.152
0; 0; 3; 0; 958; 408.152
0; 0; 2; 0; 958; 408.152
0; 0; 3; 0; 958; 408.49
1; 0; 0; 1; 958; 408.49
0; 4; 0; 0; 958; 408.49
0; 0; 3; 0; 958; 408.49
0; 3; 0; 0; 958; 408.49
0; 0; 4; 0; 958; 408.49
0; 0; 1; 0; 958; 408.49
1; 0; 0; 1; 958; 408.49
0; 2; 0; 0; 958; 408.49
0; 4; 0; 0; 958; 408.49
0; 0; 2; 0; 958; 408.49
0; 0; 2; 0; 958; 408.49
0; 0; 4; 0; 958; 408.49
0; 4; 0; 0; 958; 408.49
0; 4; 0; 0; 958; 408.49
0; 0; 3; 0; 958; 408.49
0; 2; 0; 0; 958; 408.49
0; 4; 0; 0; 958; 408.49
0; 4; 0; 0; 958; 408.49
0; 4; 0; 0; 958; 408.49
0; 0; 2; 0; 958; 408.647
0; 5; 0; 0; 958; 408.647
0; 0; 1; 0; 958; 408.647
0; 0; 5; 0; 958; 408.119
0; 0; 5; 0; 958; 408.119
0; 1; 0; 0; 958; 408.119
0; 4; 0; 0; 958; 408.119
0; 5; 0; 0; 958; 408.119
0; 5; 0; 0; 958; 408.119
0; 5; 0; 0; 958; 408.119
