accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
0; 3; 0; 0; 371; 180.427
0; 0; 2; 0; 539; 181.703
0; 0; 4; 0; 539; 181.703
0; 0; 1; 0; 539; 181.703
0; 0; 1; 0; 539; 181.703
0; 5; 0; 0; 539; 181.703
0; 0; 3; 0; 539; 181.703
0; 3; 0; 0; 539; 181.703
0; 1; 0; 0; 539; 181.703
0; 0; 4; 0; 539; 181.703
0; 1; 0; 0; 539; 181.703
0; 4; 0; 0; 539; 181.703
0; 0; 4; 0; 539; 181.703
0; 0; 2; 0; 539; 181.703
0; 4; 0; 0; 539; 181.703
0; 0; 5; 0; 539; 181.663
0; 0; 1; 0; 539; 181.663
0; 4; 0; 0; 539; 181.663
0; 1; 0; 0; 539; 181.663
0; 1; 0; 0; 995; 175.364
0; 3; 0; 0; 497; 175.359
0; 0; 4; 0; 690; 172.968
0; 0; 5; 0; 3; 177.596
0; 3; 0; 0; 890; 179.718
0; 0; 3; 0; 881; 180.504
0; 0; 4; 0; 151; 180.636
0; 0; 3; 0; 690; 177.981
0; 0; 3; 0; 72; 178.347
0; 4; 0; 0; 578; 175.834
0; 0; 3; 0; 135; 179.957
0; 0; 5; 0; 894; 176.011
0; 2; 0; 0; 894; 176.011
0; 2; 0; 0; 292; 178.508
0; 1; 0; 0; 292; 178.508
0; 3; 0; 0; 292; 178.508
0; 4; 0; 0; 292; 178.508
0; 3; 0; 0; 108; 171.8
0; 0; 2; 0; 524; 168.136
0; 0; 4; 0; 813; 175.301
0; 5; 0; 0; 292; 174.641
0; 4; 0; 0; 292; 174.641
0; 0; 2; 0; 292; 174.641
0; 5; 0; 0; 813; 175.269
0; 4; 0; 0; 813; 175.269
0; 0; 2; 0; 813; 175.294
0; 0; 2; 0; 380; 177.901
0; 1; 0; 0; 472; 177.975
0; 4; 0; 0; 578; 180.855
0; 0; 1; 0; 578; 181.095
0; 2; 0; 0; 578; 181.095
0; 0; 2; 0; 578; 181.095
0; 4; 0; 0; 380; 180.798
0; 2; 0; 0; 380; 180.798
0; 0; 1; 0; 380; 180.798
0; 0; 5; 0; 982; 176.279
0; 0; 5; 0; 578; 179.936
0; 5; 0; 0; 578; 179.936
0; 3; 0; 0; 578; 179.936
0; 0; 1; 0; 358; 177.512
0; 0; 2; 0; 411; 178.365
0; 2; 0; 0; 718; 176.773
0; 0; 2; 0; 380; 181.853
0; 0; 3; 0; 380; 181.879
0; 4; 0; 0; 180; 175.986
0; 1; 0; 0; 387; 179.78
0; 3; 0; 0; 727; 179.824
0; 0; 5; 0; 135; 171.625
0; 0; 2; 0; 998; 171.251
0; 2; 0; 0; 371; 174.512
0; 0; 4; 0; 371; 174.512
0; 3; 0; 0; 371; 174.512
0; 0; 3; 0; 292; 176.474
0; 0; 2; 0; 292; 176.474
0; 4; 0; 0; 292; 176.474
0; 1; 0; 0; 292; 176.474
0; 0; 1; 0; 292; 176.474
0; 0; 1; 0; 292; 176.474
0; 0; 4; 0; 292; 176.474
0; 0; 5; 0; 292; 176.474
0; 0; 3; 0; 371; 175.489
0; 0; 3; 0; 371; 175.489
1; 0; 0; 1; 371; 175.489
0; 3; 0; 0; 586; 175.428
0; 0; 2; 0; 411; 180.591
0; 4; 0; 0; 411; 180.591
0; 3; 0; 0; 411; 180.591
0; 0; 1; 0; 371; 183.251
0; 0; 3; 0; 371; 185.275
0; 0; 5; 0; 371; 185.275
0; 0; 2; 0; 371; 185.275
0; 5; 0; 0; 371; 185.275
0; 0; 4; 0; 371; 185.275
0; 5; 0; 0; 371; 185.275
0; 3; 0; 0; 371; 185.275
0; 2; 0; 0; 371; 185.369
0; 2; 0; 0; 371; 185.369
0; 0; 1; 0; 371; 185.369
0; 2; 0; 0; 371; 185.369
0; 0; 4; 0; 371; 185.369
0; 1; 0; 0; 371; 185.369
0; 1; 0; 0; 371; 185.369
0; 0; 4; 0; 371; 184.42
0; 0; 1; 0; 371; 184.42
0; 2; 0; 0; 371; 184.42
0; 2; 0; 0; 371; 184.42
0; 4; 0; 0; 371; 184.42
0; 0; 2; 0; 371; 183.791
0; 2; 0; 0; 371; 183.791
0; 0; 1; 0; 371; 183.791
0; 0; 1; 0; 371; 184.21
0; 3; 0; 0; 371; 184.21
0; 4; 0; 0; 371; 184.21
0; 0; 4; 0; 371; 184.21
0; 5; 0; 0; 371; 184.21
0; 0; 1; 0; 371; 184.21
0; 1; 0; 0; 371; 184.21
1; 0; 0; 1; 371; 184.21
0; 5; 0; 0; 371; 184.21
0; 3; 0; 0; 371; 184.21
0; 4; 0; 0; 371; 184.21
0; 5; 0; 0; 371; 184.21
0; 0; 4; 0; 371; 184.21
0; 0; 2; 0; 371; 184.21
0; 0; 4; 0; 371; 184.21
0; 0; 2; 0; 371; 184.21
0; 3; 0; 0; 371; 184.21
0; 0; 2; 0; 371; 184.21
0; 2; 0; 0; 371; 184.21
0; 4; 0; 0; 371; 184.21
0; 4; 0; 0; 371; 184.21
0; 2; 0; 0; 371; 184.21
0; 0; 2; 0; 371; 184.641
0; 0; 5; 0; 371; 184.641
0; 0; 3; 0; 371; 184.641
1; 0; 0; 1; 371; 184.641
0; 0; 5; 0; 371; 184.641
0; 2; 0; 0; 371; 184.641
0; 1; 0; 0; 371; 184.641
0; 0; 5; 0; 371; 184.641
0; 0; 3; 0; 89; 185.723
0; 0; 5; 0; 841; 186.429
0; 3; 0; 0; 841; 186.429
0; 2; 0; 0; 841; 186.429
0; 3; 0; 0; 841; 186.429
0; 1; 0; 0; 371; 188.617
0; 0; 2; 0; 371; 188.617
1; 0; 2; 0; 990; 177
0; 4; 0; 0; 87; 181.201
0; 3; 0; 0; 594; 179.472
0; 3; 0; 0; 330; 184.237
0; 4; 0; 0; 896; 183.249
0; 0; 3; 0; 894; 183.866
0; 0; 4; 0; 371; 184.684
0; 2; 0; 0; 411; 182.247
0; 0; 5; 0; 371; 186.678
0; 0; 3; 0; 292; 187.45
0; 0; 4; 0; 472; 187.062
0; 4; 0; 0; 327; 186.426
0; 5; 0; 0; 506; 181.612
0; 3; 0; 0; 506; 181.612
0; 1; 0; 0; 506; 180.673
0; 0; 2; 0; 106; 176.354
0; 0; 1; 0; 571; 179.778
0; 3; 0; 0; 716; 179.824
0; 0; 2; 0; 720; 179.736
0; 0; 4; 0; 720; 180.809
0; 5; 0; 0; 880; 178.761
0; 1; 0; 0; 387; 178.723
0; 0; 1; 0; 371; 182.696
0; 2; 0; 0; 870; 178.114
0; 0; 5; 0; 292; 177.193
0; 1; 0; 0; 475; 174.116
0; 2; 0; 0; 61; 171.466
0; 4; 0; 0; 259; 174.568
0; 2; 0; 0; 516; 173.864
0; 0; 5; 0; 480; 176.147
1; 0; 0; 1; 714; 173.676
0; 1; 0; 0; 72; 167.56
0; 0; 2; 0; 578; 171.476
0; 4; 0; 0; 571; 177.973
0; 3; 0; 0; 612; 178.205
0; 3; 0; 0; 640; 178.754
0; 0; 5; 0; 539; 180.772
0; 3; 0; 0; 482; 178.743
0; 2; 0; 0; 114; 179.075
0; 0; 3; 0; 146; 176.745
0; 2; 0; 0; 998; 175.057
0; 0; 4; 0; 327; 182.219
0; 4; 0; 0; 327; 182.219
0; 5; 0; 0; 327; 182.219
0; 2; 0; 0; 292; 178.392
0; 0; 2; 0; 365; 179.527
0; 2; 0; 0; 739; 177.576
0; 0; 4; 0; 586; 180.388
0; 5; 0; 0; 287; 179.984
0; 3; 0; 0; 151; 180.146
0; 4; 0; 0; 852; 181.347
1; 3; 0; 0; 961; 174.149
1; 0; 0; 1; 206; 177.235
1; 3; 0; 0; 410; 180.292
0; 5; 0; 0; 942; 180.98
1; 0; 0; 1; 942; 180.98
0; 0; 2; 0; 942; 180.98
0; 2; 0; 0; 560; 178.032
0; 0; 2; 0; 72; 170.409
0; 0; 3; 0; 191; 170.601
0; 0; 2; 0; 457; 179.29
0; 2; 0; 0; 517; 171.028
0; 5; 0; 0; 472; 177.967
1; 0; 0; 1; 472; 177.967
0; 0; 3; 0; 446; 176.112
0; 0; 4; 0; 472; 176.728
0; 0; 5; 0; 661; 175.597
0; 0; 3; 0; 555; 167.16
1; 0; 0; 1; 810; 172.526
0; 1; 0; 0; 297; 171.423
0; 4; 0; 0; 292; 172.181
0; 0; 2; 0; 882; 174.787
0; 2; 0; 0; 373; 169.759
0; 4; 0; 0; 60; 172.108
0; 5; 0; 0; 135; 171.285
0; 3; 0; 0; 586; 172.043
0; 0; 3; 0; 154; 169.039
0; 4; 0; 0; 472; 172.916
0; 0; 3; 0; 410; 174.237
0; 0; 5; 0; 661; 171.624
1; 1; 0; 0; 65; 161.585
0; 0; 3; 0; 383; 167.602
