accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
1; 2; 0; 0; 156; 236.332
0; 2; 0; 0; 184; 239.857
0; 1; 0; 0; 184; 239.857
0; 0; 4; 0; 233; 241.587
1; 0; 0; 1; 893; 240.318
0; 0; 4; 0; 85; 244.461
0; 0; 4; 0; 594; 246.681
0; 0; 5; 0; 245; 248.15
0; 0; 4; 0; 245; 248.15
0; 0; 3; 0; 245; 248.15
0; 1; 0; 0; 245; 248.15
0; 0; 1; 0; 900; 246.982
1; 0; 0; 1; 644; 246.155
1; 3; 0; 0; 586; 244.525
0; 0; 1; 0; 351; 247.515
0; 0; 1; 0; 351; 247.515
0; 0; 1; 0; 351; 247.515
0; 0; 1; 0; 873; 247.226
0; 4; 0; 0; 810; 247.282
0; 0; 3; 0; 898; 242.007
0; 0; 1; 0; 576; 246.653
0; 4; 0; 0; 247; 243.449
0; 0; 5; 0; 761; 243.961
0; 0; 5; 0; 19; 241.06
0; 5; 0; 0; 79; 240.486
1; 0; 1; 0; 438; 238.723
0; 3; 0; 0; 454; 234.7
0; 5; 0; 0; 786; 248.16
0; 0; 4; 0; 233; 244.155
0; 0; 2; 0; 378; 246.619
0; 0; 4; 0; 805; 243.492
0; 3; 0; 0; 139; 246.923
0; 0; 5; 0; 761; 248.033
0; 0; 4; 0; 761; 248.033
0; 0; 5; 0; 761; 248.033
0; 2; 0; 0; 761; 248.033
1; 0; 2; 0; 386; 243.178
0; 0; 2; 0; 674; 241.407
0; 4; 0; 0; 233; 239.403
0; 2; 0; 0; 307; 239.8
0; 5; 0; 0; 786; 239.689
0; 2; 0; 0; 720; 242.143
0; 4; 0; 0; 703; 242.434
1; 0; 0; 1; 703; 242.434
0; 0; 3; 0; 411; 242.933
0; 0; 5; 0; 411; 242.933
0; 2; 0; 0; 411; 242.933
0; 0; 4; 0; 411; 242.933
0; 2; 0; 0; 703; 243.453
0; 0; 4; 0; 137; 244.042
0; 1; 0; 0; 137; 244.042
0; 2; 0; 0; 137; 244.042
0; 1; 0; 0; 137; 244.042
0; 2; 0; 0; 137; 242.326
0; 2; 0; 0; 137; 242.326
0; 2; 0; 0; 137; 242.326
0; 3; 0; 0; 137; 242.326
0; 1; 0; 0; 720; 241.933
0; 0; 5; 0; 720; 241.933
0; 3; 0; 0; 720; 241.933
0; 0; 3; 0; 720; 241.933
0; 3; 0; 0; 97; 237.844
0; 0; 5; 0; 465; 235.019
0; 0; 2; 0; 137; 241.435
0; 3; 0; 0; 137; 241.435
0; 3; 0; 0; 137; 241.435
0; 5; 0; 0; 972; 240.377
0; 0; 1; 0; 972; 240.377
0; 0; 5; 0; 194; 238.613
0; 0; 4; 0; 849; 233.714
0; 0; 3; 0; 849; 234.641
1; 0; 0; 1; 55; 241.632
0; 2; 0; 0; 848; 241.035
0; 4; 0; 0; 655; 238.456
1; 0; 2; 0; 581; 235.824
1; 0; 2; 0; 514; 235.971
0; 4; 0; 0; 972; 243.292
0; 5; 0; 0; 704; 242.564
0; 5; 0; 0; 7; 235.927
