accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
1; 0; 0; 1; 340; 240.815
0; 0; 5; 0; 145; 239.784
0; 0; 3; 0; 353; 237.923
0; 1; 0; 0; 504; 236.58
0; 0; 3; 0; 332; 235.322
1; 0; 2; 0; 852; 234.449
0; 2; 0; 0; 296; 232.514
1; 0; 0; 1; 479; 232.934
0; 4; 0; 0; 292; 234.346
0; 4; 0; 0; 827; 223.632
0; 1; 0; 0; 53; 233.241
0; 5; 0; 0; 539; 232.644
0; 0; 2; 0; 420; 235.091
1; 0; 0; 1; 885; 227.816
1; 0; 0; 1; 924; 229.857
0; 0; 1; 0; 818; 231.228
0; 5; 0; 0; 79; 229.31
0; 3; 0; 0; 10; 231.409
0; 0; 5; 0; 879; 226.013
0; 3; 0; 0; 361; 226.227
0; 0; 1; 0; 727; 230.304
0; 0; 3; 0; 805; 231.338
0; 3; 0; 0; 89; 228.566
0; 0; 2; 0; 458; 223.268
0; 0; 4; 0; 247; 226.763
1; 0; 0; 1; 576; 232.617
0; 5; 0; 0; 576; 232.617
0; 0; 2; 0; 576; 232.617
0; 0; 3; 0; 576; 232.617
0; 0; 5; 0; 399; 224.051
0; 0; 4; 0; 621; 231.713
1; 0; 0; 1; 73; 231.049
0; 3; 0; 0; 576; 235.534
0; 5; 0; 0; 576; 235.534
0; 0; 5; 0; 576; 235.534
0; 4; 0; 0; 576; 235.534
1; 0; 0; 1; 576; 235.534
0; 0; 3; 0; 576; 235.534
0; 0; 3; 0; 576; 235.534
0; 0; 3; 0; 576; 235.534
0; 2; 0; 0; 576; 235.534
0; 0; 2; 0; 576; 235.534
0; 0; 1; 0; 576; 235.534
0; 5; 0; 0; 576; 235.534
0; 2; 0; 0; 576; 235.534
0; 5; 0; 0; 576; 235.534
0; 0; 4; 0; 576; 235.534
0; 2; 0; 0; 576; 235.534
1; 0; 0; 1; 727; 231.094
0; 0; 4; 0; 509; 224.446
0; 0; 3; 0; 96; 228.306
0; 5; 0; 0; 868; 227.833
0; 0; 5; 0; 666; 225.053
0; 0; 1; 0; 89; 216.66
0; 0; 2; 0; 790; 230.744
0; 0; 3; 0; 600; 237.773
0; 0; 5; 0; 828; 236.635
0; 0; 4; 0; 828; 236.635
0; 1; 0; 0; 828; 236.635
0; 0; 4; 0; 840; 229.901
0; 2; 0; 0; 33; 228.879
1; 2; 0; 0; 762; 231.317
1; 0; 0; 1; 589; 225.329
0; 0; 4; 0; 816; 224.51
0; 5; 0; 0; 117; 232.197
1; 4; 0; 0; 199; 229.236
0; 4; 0; 0; 43; 225.686
0; 2; 0; 0; 745; 235.069
0; 0; 4; 0; 641; 238.582
0; 0; 4; 0; 641; 238.582
0; 0; 5; 0; 893; 237.673
0; 0; 5; 0; 504; 238.473
0; 2; 0; 0; 73; 238.269
0; 1; 0; 0; 364; 231.481
0; 3; 0; 0; 168; 228.235
0; 3; 0; 0; 349; 223.599
0; 4; 0; 0; 962; 233.415
0; 3; 0; 0; 365; 228.394
1; 5; 0; 0; 603; 229.331
0; 0; 5; 0; 27; 230.771
0; 2; 0; 0; 576; 240.486
0; 3; 0; 0; 740; 239.795
0; 0; 3; 0; 997; 244.174
0; 3; 0; 0; 997; 244.174
0; 5; 0; 0; 997; 244.174
0; 0; 5; 0; 997; 244.174
0; 1; 0; 0; 997; 244.174
0; 0; 1; 0; 997; 244.174
0; 3; 0; 0; 997; 244.174
0; 5; 0; 0; 997; 244.174
0; 4; 0; 0; 997; 244.174
0; 4; 0; 0; 997; 244.174
0; 3; 0; 0; 997; 244.174
0; 3; 0; 0; 997; 244.174
0; 0; 2; 0; 997; 244.174
0; 5; 0; 0; 997; 244.174
0; 0; 3; 0; 997; 244.174
0; 0; 2; 0; 576; 243.651
0; 0; 5; 0; 576; 243.651
0; 2; 0; 0; 576; 243.651
0; 4; 0; 0; 942; 242.151
0; 1; 0; 0; 193; 239.695
0; 3; 0; 0; 942; 242.7
0; 0; 1; 0; 537; 242.762
0; 3; 0; 0; 942; 242.488
0; 0; 5; 0; 698; 236.268
0; 0; 4; 0; 353; 235.973
0; 5; 0; 0; 27; 233.406
0; 0; 2; 0; 340; 236.573
0; 5; 0; 0; 89; 234.316
0; 0; 3; 0; 89; 234.316
0; 5; 0; 0; 89; 234.316
0; 0; 3; 0; 746; 234.453
0; 3; 0; 0; 746; 234.453
0; 1; 0; 0; 931; 238.559
0; 0; 1; 0; 962; 236.621
0; 0; 5; 0; 962; 236.621
0; 4; 0; 0; 962; 236.621
0; 0; 4; 0; 111; 235.285
