accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
1; 0; 0; 1; 60; 328.164
0; 0; 2; 0; 60; 328.164
0; 3; 0; 0; 60; 328.164
0; 5; 0; 0; 60; 328.164
0; 3; 0; 0; 60; 328.164
0; 3; 0; 0; 60; 328.164
0; 4; 0; 0; 60; 328.164
0; 0; 4; 0; 60; 328.164
0; 0; 3; 0; 60; 328.164
0; 5; 0; 0; 60; 328.164
0; 3; 0; 0; 60; 328.164
0; 0; 4; 0; 60; 328.164
0; 0; 2; 0; 60; 328.164
0; 3; 0; 0; 60; 328.164
0; 0; 3; 0; 60; 328.164
0; 0; 2; 0; 60; 328.164
0; 4; 0; 0; 60; 328.164
0; 1; 0; 0; 60; 328.164
1; 0; 0; 1; 60; 328.164
0; 5; 0; 0; 60; 328.164
0; 0; 4; 0; 60; 328.164
0; 0; 2; 0; 60; 328.164
0; 0; 4; 0; 60; 328.164
0; 0; 4; 0; 60; 328.164
0; 4; 0; 0; 60; 328.164
0; 0; 3; 0; 60; 328.164
0; 1; 0; 0; 60; 328.164
0; 0; 3; 0; 60; 328.164
0; 3; 0; 0; 60; 328.164
0; 0; 4; 0; 60; 328.164
0; 1; 0; 0; 60; 328.164
0; 0; 5; 0; 60; 328.164
0; 0; 2; 0; 60; 328.164
0; 5; 0; 0; 60; 328.164
0; 0; 1; 0; 60; 328.164
0; 0; 1; 0; 60; 328.164
0; 0; 1; 0; 60; 328.164
0; 3; 0; 0; 60; 328.164
0; 3; 0; 0; 60; 328.164
0; 0; 3; 0; 60; 328.164
0; 0; 3; 0; 60; 328.164
0; 3; 0; 0; 60; 328.164
0; 4; 0; 0; 60; 328.164
0; 0; 5; 0; 60; 328.164
0; 4; 0; 0; 60; 328.164
0; 0; 4; 0; 60; 328.164
0; 0; 2; 0; 60; 328.164
0; 0; 3; 0; 60; 328.164
0; 1; 0; 0; 60; 328.164
0; 1; 0; 0; 60; 328.164
0; 1; 0; 0; 60; 328.164
0; 0; 4; 0; 60; 327.095
0; 3; 0; 0; 60; 327.095
0; 3; 0; 0; 60; 327.095
0; 3; 0; 0; 60; 327.095
0; 2; 0; 0; 60; 327.095
0; 2; 0; 0; 60; 327.095
0; 0; 3; 0; 60; 327.095
0; 0; 5; 0; 60; 327.095
0; 0; 5; 0; 60; 327.095
0; 4; 0; 0; 60; 327.095
0; 0; 5; 0; 60; 327.095
0; 0; 2; 0; 60; 327.095
0; 2; 0; 0; 60; 327.095
0; 5; 0; 0; 60; 327.095
0; 0; 2; 0; 60; 329.144
0; 5; 0; 0; 60; 329.144
0; 2; 0; 0; 60; 329.144
0; 0; 5; 0; 60; 329.144
0; 4; 0; 0; 60; 329.144
0; 0; 1; 0; 60; 329.144
1; 0; 0; 1; 60; 329.144
0; 0; 2; 0; 60; 329.144
0; 2; 0; 0; 60; 329.144
0; 0; 1; 0; 60; 329.144
0; 2; 0; 0; 60; 329.144
0; 4; 0; 0; 60; 329.144
0; 2; 0; 0; 60; 329.144
0; 3; 0; 0; 60; 329.144
0; 0; 3; 0; 60; 329.144
0; 0; 3; 0; 60; 329.144
1; 0; 0; 1; 60; 329.144
0; 0; 2; 0; 60; 329.144
0; 2; 0; 0; 60; 329.144
0; 4; 0; 0; 60; 329.144
0; 0; 5; 0; 60; 329.144
0; 2; 0; 0; 60; 329.144
0; 2; 0; 0; 60; 329.144
0; 1; 0; 0; 60; 329.144
0; 1; 0; 0; 60; 329.144
0; 0; 2; 0; 60; 329.144
0; 0; 3; 0; 60; 329.144
0; 1; 0; 0; 60; 329.144
0; 1; 0; 0; 60; 329.144
0; 5; 0; 0; 60; 329.144
0; 3; 0; 0; 60; 329.144
0; 0; 3; 0; 60; 329.144
0; 5; 0; 0; 60; 329.396
0; 0; 2; 0; 60; 329.396
0; 4; 0; 0; 60; 329.396
0; 3; 0; 0; 60; 329.396
0; 0; 5; 0; 60; 329.396
0; 0; 2; 0; 60; 329.529
0; 0; 5; 0; 60; 329.529
0; 4; 0; 0; 60; 329.529
0; 0; 2; 0; 60; 329.529
0; 5; 0; 0; 60; 329.529
0; 4; 0; 0; 60; 329.529
0; 4; 0; 0; 60; 329.529
0; 0; 1; 0; 60; 329.529
0; 2; 0; 0; 60; 329.529
0; 0; 5; 0; 60; 329.529
0; 0; 2; 0; 60; 329.529
0; 3; 0; 0; 60; 329.529
0; 0; 3; 0; 60; 329.529
0; 5; 0; 0; 60; 329.529
0; 0; 5; 0; 60; 329.529
0; 2; 0; 0; 60; 329.529
0; 0; 5; 0; 60; 329.529
0; 0; 5; 0; 60; 329.529
0; 0; 2; 0; 60; 329.529
0; 1; 0; 0; 60; 329.529
0; 0; 4; 0; 60; 329.529
0; 0; 5; 0; 60; 329.529
0; 0; 5; 0; 60; 330.177
0; 1; 0; 0; 60; 330.177
1; 0; 0; 1; 60; 330.177
0; 2; 0; 0; 60; 330.177
0; 3; 0; 0; 60; 330.177
0; 3; 0; 0; 60; 330.177
0; 0; 4; 0; 60; 330.177
0; 1; 0; 0; 60; 330.177
0; 0; 1; 0; 60; 330.177
0; 0; 3; 0; 60; 330.177
1; 0; 0; 1; 60; 330.177
0; 2; 0; 0; 60; 330.177
0; 3; 0; 0; 60; 330.177
0; 4; 0; 0; 60; 330.177
0; 1; 0; 0; 60; 330.177
0; 5; 0; 0; 60; 330.177
0; 4; 0; 0; 60; 330.177
0; 0; 3; 0; 60; 330.177
0; 2; 0; 0; 60; 330.177
0; 1; 0; 0; 60; 330.177
0; 0; 4; 0; 60; 330.177
1; 0; 0; 1; 60; 330.177
0; 0; 4; 0; 60; 330.177
0; 2; 0; 0; 60; 330.177
0; 0; 5; 0; 60; 330.177
0; 0; 4; 0; 60; 330.177
0; 5; 0; 0; 60; 330.177
0; 2; 0; 0; 60; 330.177
0; 5; 0; 0; 60; 330.177
0; 1; 0; 0; 60; 330.177
0; 0; 5; 0; 60; 330.177
0; 0; 5; 0; 60; 330.177
0; 0; 4; 0; 60; 330.177
0; 0; 1; 0; 60; 330.177
0; 5; 0; 0; 60; 330.177
0; 0; 2; 0; 60; 330.177
0; 1; 0; 0; 60; 330.177
0; 3; 0; 0; 60; 330.177
0; 0; 5; 0; 60; 330.177
1; 0; 0; 1; 60; 330.177
0; 5; 0; 0; 60; 330.177
0; 5; 0; 0; 60; 330.177
0; 5; 0; 0; 60; 330.177
0; 0; 2; 0; 60; 330.177
0; 3; 0; 0; 60; 328.973
0; 0; 5; 0; 60; 328.973
0; 1; 0; 0; 60; 328.973
0; 2; 0; 0; 60; 328.973
0; 0; 1; 0; 60; 329.374
0; 1; 0; 0; 60; 329.485
0; 0; 2; 0; 60; 329.485
0; 1; 0; 0; 60; 329.485
0; 0; 5; 0; 60; 329.485
0; 0; 1; 0; 60; 329.485
0; 4; 0; 0; 60; 329.485
0; 0; 3; 0; 60; 329.385
0; 0; 1; 0; 60; 329.385
0; 3; 0; 0; 60; 329.385
0; 0; 2; 0; 60; 329.385
0; 0; 3; 0; 60; 327.751
0; 0; 2; 0; 60; 327.751
0; 0; 4; 0; 60; 327.751
0; 0; 1; 0; 60; 327.751
0; 0; 5; 0; 60; 327.751
0; 0; 1; 0; 60; 327.751
0; 0; 3; 0; 60; 327.751
0; 0; 4; 0; 60; 327.751
0; 5; 0; 0; 60; 327.751
0; 0; 5; 0; 60; 327.751
0; 0; 4; 0; 60; 327.751
0; 0; 5; 0; 60; 327.75
0; 0; 4; 0; 60; 327.75
0; 0; 4; 0; 60; 327.75
0; 4; 0; 0; 60; 327.75
0; 5; 0; 0; 60; 327.75
0; 0; 3; 0; 60; 327.75
0; 1; 0; 0; 60; 327.75
0; 1; 0; 0; 60; 327.75
0; 1; 0; 0; 60; 327.75
0; 1; 0; 0; 60; 327.75
0; 5; 0; 0; 60; 327.75
0; 0; 3; 0; 60; 327.75
0; 0; 2; 0; 60; 327.75
0; 1; 0; 0; 60; 327.75
0; 1; 0; 0; 60; 328.694
0; 5; 0; 0; 60; 328.694
0; 0; 1; 0; 60; 328.694
0; 0; 1; 0; 60; 328.694
0; 0; 3; 0; 60; 328.694
0; 0; 3; 0; 60; 328.694
0; 4; 0; 0; 60; 328.694
0; 0; 1; 0; 60; 328.694
0; 4; 0; 0; 60; 328.694
0; 4; 0; 0; 60; 328.694
0; 5; 0; 0; 60; 328.694
0; 0; 5; 0; 60; 328.531
0; 0; 3; 0; 60; 328.531
0; 0; 5; 0; 60; 328.531
0; 2; 0; 0; 60; 328.531
0; 3; 0; 0; 60; 328.531
0; 0; 5; 0; 60; 328.531
