accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
1; 0; 0; 1; 265; 234.401
0; 0; 1; 0; 265; 234.401
0; 0; 2; 0; 265; 234.401
0; 4; 0; 0; 265; 234.401
0; 1; 0; 0; 265; 234.401
0; 0; 2; 0; 265; 234.401
1; 0; 0; 1; 265; 234.401
0; 0; 1; 0; 265; 234.401
0; 3; 0; 0; 265; 234.401
0; 0; 5; 0; 265; 234.401
0; 0; 2; 0; 265; 234.401
0; 0; 3; 0; 265; 234.401
0; 3; 0; 0; 265; 234.401
0; 0; 2; 0; 265; 234.401
0; 0; 2; 0; 265; 234.401
0; 5; 0; 0; 265; 234.401
0; 4; 0; 0; 265; 234.401
0; 0; 5; 0; 265; 234.401
0; 0; 4; 0; 265; 234.401
0; 0; 1; 0; 265; 234.401
0; 2; 0; 0; 265; 234.401
0; 4; 0; 0; 265; 234.401
1; 0; 0; 1; 265; 234.401
0; 0; 5; 0; 265; 234.401
0; 0; 3; 0; 265; 234.401
0; 0; 3; 0; 265; 234.401
0; 5; 0; 0; 265; 234.401
0; 0; 5; 0; 265; 234.401
0; 5; 0; 0; 265; 234.401
0; 0; 4; 0; 265; 234.401
0; 0; 4; 0; 265; 234.401
0; 5; 0; 0; 265; 234.401
0; 0; 3; 0; 265; 234.401
0; 3; 0; 0; 265; 234.401
0; 0; 5; 0; 265; 234.401
0; 0; 2; 0; 265; 234.401
0; 0; 3; 0; 265; 234.401
0; 0; 4; 0; 265; 234.488
0; 0; 4; 0; 265; 234.488
0; 0; 4; 0; 265; 234.488
0; 0; 1; 0; 265; 234.488
0; 0; 2; 0; 265; 234.488
0; 0; 1; 0; 265; 234.488
0; 0; 1; 0; 265; 234.488
0; 3; 0; 0; 265; 234.488
0; 0; 1; 0; 265; 234.488
0; 0; 1; 0; 265; 234.488
0; 5; 0; 0; 265; 236.067
0; 3; 0; 0; 265; 236.067
0; 4; 0; 0; 265; 236.067
0; 0; 3; 0; 265; 236.067
0; 0; 5; 0; 265; 236.067
0; 3; 0; 0; 265; 236.067
0; 4; 0; 0; 265; 236.067
0; 0; 5; 0; 265; 236.067
0; 2; 0; 0; 265; 236.067
0; 0; 5; 0; 265; 236.067
0; 4; 0; 0; 265; 236.067
0; 1; 0; 0; 265; 236.067
1; 0; 0; 1; 265; 236.067
0; 3; 0; 0; 265; 236.067
0; 0; 4; 0; 265; 236.067
0; 2; 0; 0; 265; 236.067
0; 0; 4; 0; 265; 236.067
0; 0; 1; 0; 265; 236.067
0; 0; 5; 0; 265; 234.822
0; 0; 3; 0; 265; 234.822
0; 1; 0; 0; 265; 234.822
0; 0; 3; 0; 265; 234.822
0; 0; 4; 0; 265; 234.822
0; 3; 0; 0; 265; 234.822
1; 0; 0; 1; 265; 234.822
0; 0; 1; 0; 265; 234.822
0; 1; 0; 0; 265; 234.822
0; 0; 3; 0; 265; 234.822
0; 0; 1; 0; 265; 234.822
0; 0; 2; 0; 265; 234.822
0; 1; 0; 0; 265; 234.822
0; 0; 3; 0; 265; 234.822
0; 1; 0; 0; 265; 234.711
1; 0; 0; 1; 265; 234.711
0; 0; 2; 0; 265; 234.711
0; 3; 0; 0; 265; 234.711
0; 2; 0; 0; 265; 234.711
0; 1; 0; 0; 265; 234.71
0; 5; 0; 0; 265; 234.71
0; 0; 2; 0; 265; 234.71
0; 0; 5; 0; 265; 234.71
0; 0; 3; 0; 265; 234.711
1; 0; 0; 1; 265; 234.711
0; 0; 3; 0; 265; 234.711
0; 0; 3; 0; 265; 233.804
0; 0; 2; 0; 265; 233.804
0; 2; 0; 0; 265; 233.804
0; 0; 2; 0; 265; 233.804
0; 0; 3; 0; 265; 233.804
0; 2; 0; 0; 265; 233.804
0; 3; 0; 0; 265; 233.804
0; 0; 3; 0; 265; 233.804
0; 3; 0; 0; 265; 233.804
0; 3; 0; 0; 265; 233.804
0; 0; 5; 0; 265; 233.804
0; 0; 5; 0; 265; 233.804
0; 0; 2; 0; 265; 233.804
0; 3; 0; 0; 265; 233.804
0; 0; 3; 0; 265; 233.804
0; 1; 0; 0; 265; 233.804
0; 0; 5; 0; 265; 233.804
0; 0; 5; 0; 265; 233.804
0; 2; 0; 0; 265; 233.804
1; 0; 0; 1; 265; 233.804
0; 1; 0; 0; 265; 233.804
0; 0; 1; 0; 265; 233.804
0; 5; 0; 0; 265; 233.804
1; 0; 0; 1; 265; 233.804
0; 0; 4; 0; 265; 233.804
0; 4; 0; 0; 265; 233.804
0; 3; 0; 0; 265; 233.804
0; 0; 5; 0; 265; 233.804
0; 4; 0; 0; 265; 233.804
0; 0; 1; 0; 265; 233.804
0; 1; 0; 0; 265; 233.804
0; 2; 0; 0; 265; 233.804
0; 0; 4; 0; 265; 233.804
0; 0; 4; 0; 265; 233.804
0; 0; 5; 0; 265; 233.804
1; 0; 0; 1; 265; 233.804
0; 0; 5; 0; 265; 233.804
0; 2; 0; 0; 265; 234.315
0; 0; 3; 0; 265; 234.315
0; 1; 0; 0; 265; 234.315
0; 1; 0; 0; 265; 234.315
0; 3; 0; 0; 265; 234.315
0; 5; 0; 0; 265; 234.315
0; 0; 4; 0; 265; 234.315
0; 0; 1; 0; 265; 234.315
0; 1; 0; 0; 265; 234.315
0; 0; 4; 0; 265; 234.315
0; 1; 0; 0; 265; 234.315
0; 2; 0; 0; 265; 234.315
0; 0; 3; 0; 265; 234.315
0; 0; 2; 0; 265; 234.315
0; 0; 5; 0; 265; 234.315
0; 3; 0; 0; 265; 234.315
0; 0; 2; 0; 265; 234.315
0; 0; 5; 0; 265; 234.315
1; 0; 0; 1; 265; 234.315
0; 0; 1; 0; 265; 234.315
0; 0; 5; 0; 265; 234.315
0; 4; 0; 0; 265; 234.315
0; 4; 0; 0; 265; 234.315
0; 0; 1; 0; 265; 234.315
0; 0; 1; 0; 265; 234.315
0; 0; 3; 0; 265; 234.315
0; 5; 0; 0; 265; 234.315
0; 4; 0; 0; 265; 234.315
0; 3; 0; 0; 265; 234.315
0; 5; 0; 0; 265; 234.315
0; 0; 4; 0; 265; 234.315
