accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
0; 1; 0; 0; 917; 223.844
0; 2; 0; 0; 601; 221.073
0; 0; 4; 0; 951; 217.434
0; 2; 0; 0; 203; 217.358
0; 0; 4; 0; 124; 222.956
0; 2; 0; 0; 124; 222.956
0; 0; 1; 0; 124; 222.956
0; 4; 0; 0; 124; 222.956
0; 0; 5; 0; 124; 222.956
1; 0; 0; 1; 124; 222.956
1; 0; 0; 1; 610; 212.567
0; 2; 0; 0; 961; 218.157
0; 0; 4; 0; 912; 215.952
0; 4; 0; 0; 824; 219.303
0; 0; 4; 0; 824; 219.303
0; 1; 0; 0; 484; 222.067
0; 0; 3; 0; 484; 222.067
0; 1; 0; 0; 38; 223.378
1; 0; 0; 1; 963; 224.163
0; 0; 5; 0; 963; 224.163
0; 0; 1; 0; 181; 223.102
0; 4; 0; 0; 286; 217.445
0; 0; 1; 0; 136; 222.241
0; 1; 0; 0; 38; 225.371
1; 2; 0; 0; 50; 215.565
0; 0; 5; 0; 249; 218.812
0; 0; 3; 0; 576; 212.004
0; 5; 0; 0; 253; 214.61
0; 2; 0; 0; 963; 217.953
0; 0; 2; 0; 963; 217.953
0; 0; 1; 0; 963; 217.953
0; 0; 3; 0; 794; 217.526
0; 4; 0; 0; 631; 221.646
0; 0; 1; 0; 631; 221.646
0; 0; 3; 0; 576; 216.392
0; 0; 1; 0; 223; 215.518
0; 0; 2; 0; 794; 218.28
0; 3; 0; 0; 722; 216.724
0; 1; 0; 0; 648; 222.069
0; 3; 0; 0; 160; 224.496
0; 5; 0; 0; 160; 224.496
0; 3; 0; 0; 160; 224.496
0; 0; 3; 0; 382; 216.83
0; 1; 0; 0; 368; 211.5
0; 4; 0; 0; 382; 215.819
0; 0; 1; 0; 466; 209.97
0; 0; 3; 0; 160; 214.748
0; 1; 0; 0; 794; 211.302
0; 5; 0; 0; 601; 208.853
0; 0; 5; 0; 661; 212.867
0; 5; 0; 0; 923; 213.776
0; 1; 0; 0; 359; 213.397
0; 0; 1; 0; 443; 212.18
0; 0; 4; 0; 70; 215.701
0; 0; 4; 0; 824; 217.033
0; 1; 0; 0; 992; 217.021
0; 0; 3; 0; 58; 219.651
0; 3; 0; 0; 58; 219.651
0; 4; 0; 0; 341; 213.814
0; 0; 1; 0; 58; 219.685
0; 1; 0; 0; 774; 215.733
1; 0; 0; 1; 368; 213.601
0; 0; 2; 0; 368; 213.601
0; 0; 1; 0; 860; 213.777
0; 4; 0; 0; 860; 213.777
0; 0; 2; 0; 860; 214.565
1; 0; 0; 1; 860; 214.565
0; 3; 0; 0; 860; 214.565
0; 0; 5; 0; 212; 218.292
0; 0; 5; 0; 212; 218.292
0; 0; 1; 0; 212; 218.292
0; 0; 1; 0; 114; 219.41
0; 0; 5; 0; 601; 220.048
0; 2; 0; 0; 58; 221.029
0; 0; 1; 0; 58; 221.029
1; 0; 0; 1; 114; 216.001
0; 0; 1; 0; 114; 216.001
0; 4; 0; 0; 443; 218.775
0; 1; 0; 0; 443; 218.775
0; 0; 5; 0; 794; 227.879
0; 3; 0; 0; 794; 227.879
0; 5; 0; 0; 794; 227.879
0; 0; 4; 0; 794; 227.879
0; 5; 0; 0; 794; 227.879
0; 0; 4; 0; 794; 227.879
0; 1; 0; 0; 794; 227.879
0; 0; 3; 0; 794; 227.879
0; 0; 4; 0; 794; 227.879
0; 0; 2; 0; 794; 227.879
0; 1; 0; 0; 794; 227.879
0; 0; 2; 0; 794; 228.141
0; 5; 0; 0; 794; 228.141
0; 0; 3; 0; 794; 228.141
0; 0; 4; 0; 794; 228.141
0; 4; 0; 0; 794; 228.141
0; 0; 4; 0; 794; 228.141
0; 0; 3; 0; 794; 228.141
0; 0; 2; 0; 794; 228.141
0; 0; 2; 0; 794; 228.141
0; 3; 0; 0; 794; 228.141
0; 3; 0; 0; 794; 228.141
0; 0; 3; 0; 794; 228.141
0; 0; 2; 0; 794; 228.141
0; 0; 3; 0; 794; 228.141
0; 1; 0; 0; 794; 228.141
0; 4; 0; 0; 794; 228.141
0; 0; 1; 0; 794; 228.141
0; 3; 0; 0; 794; 228.141
0; 4; 0; 0; 794; 228.141
0; 0; 5; 0; 794; 228.141
0; 2; 0; 0; 794; 228.141
0; 0; 5; 0; 794; 228.141
0; 4; 0; 0; 794; 228.141
0; 5; 0; 0; 794; 228.141
0; 0; 5; 0; 794; 228.141
0; 2; 0; 0; 794; 228.141
0; 0; 4; 0; 794; 228.141
0; 0; 2; 0; 794; 228.141
0; 0; 1; 0; 794; 228.141
0; 3; 0; 0; 794; 228.141
0; 0; 2; 0; 794; 228.141
0; 1; 0; 0; 794; 228.141
0; 4; 0; 0; 794; 228.141
0; 0; 1; 0; 794; 228.141
0; 3; 0; 0; 794; 228.141
0; 1; 0; 0; 794; 228.141
0; 3; 0; 0; 794; 228.141
0; 0; 3; 0; 794; 228.141
0; 0; 3; 0; 794; 228.141
0; 0; 3; 0; 794; 228.141
0; 4; 0; 0; 794; 228.141
0; 0; 2; 0; 794; 228.141
0; 0; 4; 0; 794; 228.141
1; 0; 0; 1; 794; 228.141
0; 5; 0; 0; 794; 228.141
0; 4; 0; 0; 794; 228.141
0; 3; 0; 0; 794; 228.141
0; 0; 5; 0; 794; 228.141
0; 0; 5; 0; 794; 228.141
0; 5; 0; 0; 794; 228.141
0; 2; 0; 0; 794; 228.141
0; 4; 0; 0; 794; 228.182
0; 2; 0; 0; 794; 228.182
0; 4; 0; 0; 794; 228.182
0; 3; 0; 0; 794; 228.182
0; 2; 0; 0; 794; 228.182
0; 0; 1; 0; 794; 228.182
0; 5; 0; 0; 794; 228.182
1; 0; 0; 1; 794; 228.182
0; 4; 0; 0; 794; 228.182
0; 3; 0; 0; 794; 228.182
0; 0; 4; 0; 794; 228.182
0; 4; 0; 0; 794; 228.182
0; 0; 5; 0; 794; 228.182
0; 0; 4; 0; 794; 228.182
0; 0; 3; 0; 794; 228.182
0; 4; 0; 0; 794; 228.182
0; 5; 0; 0; 794; 228.182
0; 5; 0; 0; 794; 228.182
0; 5; 0; 0; 794; 228.182
0; 0; 3; 0; 794; 228.182
0; 1; 0; 0; 794; 228.182
0; 0; 2; 0; 794; 228.182
0; 4; 0; 0; 794; 228.182
0; 3; 0; 0; 794; 228.182
0; 0; 2; 0; 794; 228.182
0; 2; 0; 0; 794; 228.182
0; 0; 4; 0; 124; 226.75
0; 1; 0; 0; 124; 226.75
0; 5; 0; 0; 124; 226.75
0; 4; 0; 0; 124; 226.75
0; 0; 1; 0; 300; 220.763
0; 5; 0; 0; 794; 228.889
0; 0; 4; 0; 794; 228.889
0; 3; 0; 0; 794; 228.889
0; 3; 0; 0; 794; 228.889
0; 4; 0; 0; 794; 228.889
0; 3; 0; 0; 794; 228.889
0; 0; 3; 0; 794; 228.889
0; 1; 0; 0; 794; 228.889
0; 3; 0; 0; 794; 227.507
0; 4; 0; 0; 794; 227.507
0; 4; 0; 0; 794; 227.507
0; 0; 4; 0; 160; 225.647
0; 4; 0; 0; 160; 225.647
0; 0; 4; 0; 430; 227.984
0; 0; 3; 0; 917; 225.946
0; 1; 0; 0; 661; 221.402
0; 1; 0; 0; 832; 221.345
0; 0; 1; 0; 179; 223.769
0; 5; 0; 0; 484; 222.44
0; 2; 0; 0; 160; 223.156
0; 1; 0; 0; 917; 221.127
0; 0; 3; 0; 78; 223.763
0; 0; 1; 0; 951; 224.302
0; 0; 1; 0; 785; 222.966
0; 5; 0; 0; 785; 222.966
0; 5; 0; 0; 785; 222.966
0; 5; 0; 0; 785; 222.966
0; 5; 0; 0; 785; 222.966
0; 0; 3; 0; 785; 222.966
0; 0; 1; 0; 785; 222.966
0; 3; 0; 0; 517; 220.991
0; 0; 5; 0; 204; 219.776
0; 0; 3; 0; 38; 225.305
0; 3; 0; 0; 38; 225.305
0; 2; 0; 0; 38; 225.305
0; 0; 4; 0; 38; 225.305
0; 3; 0; 0; 38; 225.305
0; 3; 0; 0; 38; 225.305
0; 1; 0; 0; 38; 225.305
1; 0; 0; 1; 38; 225.305
0; 0; 4; 0; 38; 225.305
0; 0; 4; 0; 38; 225.305
0; 0; 3; 0; 38; 225.305
0; 4; 0; 0; 38; 225.305
0; 4; 0; 0; 38; 225.305
0; 0; 4; 0; 38; 225.305
0; 4; 0; 0; 38; 225.305
0; 3; 0; 0; 38; 225.305
0; 0; 2; 0; 38; 225.305
0; 0; 5; 0; 38; 225.305
0; 0; 5; 0; 38; 225.305
