accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
0; 3; 0; 0; 747; 233.253
1; 5; 0; 0; 773; 225.408
0; 5; 0; 0; 347; 232.861
0; 0; 2; 0; 997; 233.256
0; 4; 0; 0; 997; 233.256
0; 0; 1; 0; 931; 232.673
0; 0; 5; 0; 931; 232.673
1; 2; 0; 0; 766; 230.017
0; 5; 0; 0; 575; 233.836
0; 0; 4; 0; 109; 236.111
0; 0; 3; 0; 109; 236.111
0; 0; 3; 0; 579; 228.528
0; 1; 0; 0; 748; 233.037
0; 4; 0; 0; 420; 235.099
0; 0; 5; 0; 145; 236.436
0; 0; 2; 0; 931; 235.338
1; 0; 0; 1; 931; 235.338
0; 0; 1; 0; 931; 235.338
0; 3; 0; 0; 931; 235.338
0; 0; 3; 0; 874; 235.698
1; 4; 0; 0; 879; 231.95
0; 5; 0; 0; 420; 236.412
0; 2; 0; 0; 420; 232.653
1; 0; 0; 1; 828; 229.828
0; 0; 1; 0; 805; 232.327
0; 0; 3; 0; 600; 236.562
0; 0; 4; 0; 438; 234.635
0; 4; 0; 0; 600; 234.55
0; 2; 0; 0; 600; 234.55
0; 4; 0; 0; 600; 234.55
0; 0; 1; 0; 600; 234.55
0; 0; 3; 0; 734; 230.479
0; 0; 5; 0; 874; 236.428
0; 5; 0; 0; 89; 235.958
0; 5; 0; 0; 600; 240.009
0; 0; 5; 0; 600; 240.009
0; 0; 1; 0; 600; 240.009
0; 0; 5; 0; 600; 240.009
0; 0; 1; 0; 600; 240.009
0; 0; 2; 0; 485; 235.898
0; 0; 3; 0; 816; 240.279
0; 0; 1; 0; 355; 234.114
1; 0; 0; 1; 805; 239.694
0; 4; 0; 0; 805; 239.694
0; 5; 0; 0; 805; 239.694
0; 3; 0; 0; 805; 239.694
0; 4; 0; 0; 576; 237.754
0; 0; 5; 0; 576; 237.754
0; 1; 0; 0; 997; 236.605
0; 2; 0; 0; 997; 236.605
0; 0; 4; 0; 997; 236.605
0; 0; 2; 0; 576; 237.152
0; 4; 0; 0; 576; 237.152
0; 2; 0; 0; 451; 233.167
0; 1; 0; 0; 295; 236.867
