accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
0; 0; 4; 0; 958; -3.95816
0; 0; 3; 0; 514; -7.49234
0; 1; 0; 0; 436; -7.87516
0; 2; 0; 0; 501; -6.65899
0; 0; 3; 0; 395; -8.68041
0; 2; 0; 0; 375; -5.26945
0; 0; 4; 0; 182; -11.1848
0; 0; 3; 0; 702; -9.14925
0; 0; 5; 0; 702; -10.786
0; 0; 1; 0; 689; -7.80592
0; 2; 0; 0; 958; -12.0099
0; 0; 5; 0; 982; -9.44261
0; 0; 4; 0; 205; -5.88269
0; 0; 1; 0; 932; -14.2349
0; 5; 0; 0; 815; -16.4762
0; 3; 0; 0; 958; -8.61408
1; 0; 3; 0; 310; -9.5598
0; 5; 0; 0; 86; -8.26203
0; 0; 1; 0; 844; -9.90284
1; 5; 0; 0; 789; -10.8813
0; 3; 0; 0; 367; -17.5151
0; 0; 3; 0; 639; -25.7059
0; 0; 5; 0; 846; -11.894
0; 2; 0; 0; 468; -9.57806
0; 2; 0; 0; 468; -9.57806
0; 1; 0; 0; 371; -9.74172
0; 3; 0; 0; 362; -11.9691
0; 0; 3; 0; 678; -12.6564
0; 0; 2; 0; 416; -13.1749
0; 0; 5; 0; 984; -3.68695
0; 1; 0; 0; 878; -6.12082
0; 5; 0; 0; 984; -4.53851
0; 0; 1; 0; 984; -4.53851
0; 0; 2; 0; 206; -2.96873
0; 0; 1; 0; 206; -2.96873
0; 0; 4; 0; 206; -2.96873
0; 0; 5; 0; 206; -2.96873
0; 0; 2; 0; 206; -2.96873
0; 0; 1; 0; 206; -2.96873
0; 0; 3; 0; 206; -2.51328
0; 2; 0; 0; 206; -2.51328
0; 3; 0; 0; 206; -2.51328
0; 0; 4; 0; 206; -2.17199
0; 0; 4; 0; 148; -6.90379
0; 2; 0; 0; 19; -5.61863
0; 2; 0; 0; 126; -8.18429
0; 0; 1; 0; 501; -6.65506
0; 3; 0; 0; 457; -17.444
1; 5; 0; 0; 878; -31.909
0; 2; 0; 0; 420; -19.0446
0; 0; 5; 0; 659; -25.6189
0; 5; 0; 0; 789; -17.6432
0; 0; 5; 0; 760; -20.0099
0; 0; 5; 0; 52; -16.3288
0; 5; 0; 0; 9; -22.768
0; 4; 0; 0; 987; -30.5909
0; 2; 0; 0; 816; -25.0513
1; 5; 0; 0; 628; -11.4426
0; 0; 3; 0; 368; -6.76179
0; 0; 2; 0; 151; -8.82636
0; 1; 0; 0; 234; -12.6486
0; 0; 5; 0; 22; -6.35892
0; 0; 4; 0; 216; -5.26017
0; 0; 1; 0; 216; -5.26017
0; 3; 0; 0; 919; -4.50098
0; 4; 0; 0; 86; -0.998495
0; 0; 2; 0; 16; -2.22457
1; 0; 0; 1; 600; -7.27697
0; 2; 0; 0; 600; -7.27697
0; 3; 0; 0; 73; -6.55157
0; 0; 4; 0; 19; -3.03433
0; 0; 2; 0; 19; -3.03433
0; 0; 4; 0; 468; -3.16953
0; 4; 0; 0; 468; -3.16953
0; 0; 3; 0; 919; -4.90044
0; 0; 3; 0; 340; -4.60742
0; 2; 0; 0; 206; -1.04875
0; 0; 5; 0; 206; -1.04875
0; 1; 0; 0; 206; -1.04875
0; 0; 3; 0; 206; -1.04875
0; 0; 4; 0; 206; -1.04875
0; 3; 0; 0; 206; -1.04875
0; 5; 0; 0; 206; -1.04875
0; 2; 0; 0; 206; -1.04875
0; 4; 0; 0; 206; -1.04875
0; 0; 3; 0; 206; -1.04875
0; 4; 0; 0; 206; -1.04875
0; 0; 2; 0; 206; -1.04875
0; 4; 0; 0; 206; -1.04875
0; 1; 0; 0; 206; -1.04875
0; 4; 0; 0; 206; -1.05071
0; 0; 3; 0; 206; -1.05071
0; 0; 5; 0; 206; -1.05071
0; 0; 2; 0; 206; -1.05071
0; 0; 5; 0; 206; -1.05071
0; 5; 0; 0; 206; -1.05071
0; 0; 2; 0; 206; -1.05071
0; 0; 1; 0; 206; -1.05071
0; 0; 1; 0; 206; -1.05071
0; 0; 5; 0; 206; -1.05071
0; 0; 1; 0; 206; -1.05071
0; 4; 0; 0; 206; -1.05071
0; 0; 3; 0; 206; -1.05071
0; 0; 5; 0; 206; -1.05071
0; 3; 0; 0; 206; -1.05071
0; 2; 0; 0; 206; -1.05071
0; 0; 5; 0; 206; -1.05071
0; 2; 0; 0; 206; -1.05071
1; 0; 0; 1; 206; -1.05071
0; 0; 1; 0; 206; -1.05071
0; 0; 1; 0; 206; -1.05071
0; 0; 3; 0; 13; -6.24037
0; 0; 4; 0; 468; -1.81011
1; 0; 0; 1; 468; -1.81011
0; 2; 0; 0; 468; -1.81011
0; 4; 0; 0; 468; -1.81011
0; 0; 4; 0; 468; -1.81011
0; 0; 4; 0; 468; -1.81011
0; 0; 2; 0; 190; -6.4434
0; 1; 0; 0; 35; -13.3969
0; 1; 0; 0; 371; -8.09946
0; 3; 0; 0; 245; -6.09446
0; 0; 4; 0; 245; -6.09446
0; 5; 0; 0; 245; -6.09446
0; 2; 0; 0; 245; -6.09446
0; 2; 0; 0; 245; -6.09446
0; 0; 2; 0; 16; -5.8682
0; 0; 2; 0; 987; -7.17805
0; 0; 4; 0; 987; -6.27797
0; 0; 1; 0; 878; -5.05216
0; 0; 5; 0; 878; -5.42182
0; 0; 4; 0; 468; -3.21913
0; 0; 2; 0; 468; -3.21913
0; 0; 3; 0; 468; -3.21913
0; 0; 1; 0; 73; -5.34158
0; 5; 0; 0; 73; -5.34158
0; 0; 2; 0; 73; -2.98578
0; 2; 0; 0; 73; -2.98578
