accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
0; 3; 0; 0; 206; -19.6592
0; 0; 3; 0; 206; -19.6592
0; 4; 0; 0; 497; -19.3724
0; 1; 0; 0; 344; -11.3533
0; 0; 1; 0; 344; -11.3533
0; 0; 5; 0; 344; -11.3533
0; 2; 0; 0; 344; -11.3533
0; 0; 4; 0; 344; -11.3533
0; 0; 4; 0; 344; -11.3533
0; 2; 0; 0; 466; -10.3394
0; 1; 0; 0; 466; -10.3394
0; 0; 1; 0; 466; -10.3394
0; 0; 3; 0; 466; -10.3394
0; 1; 0; 0; 51; -17.739
0; 0; 1; 0; 587; -11.0692
0; 0; 4; 0; 711; -13.0209
0; 0; 5; 0; 62; -15.5755
0; 0; 3; 0; 856; -17.7028
0; 0; 5; 0; 76; -12.5554
1; 0; 0; 1; 943; -16.8086
0; 3; 0; 0; 171; -21.1495
0; 1; 0; 0; 763; -16.2551
0; 2; 0; 0; 630; -18.3536
0; 0; 5; 0; 937; -19.2788
0; 4; 0; 0; 425; -24.4531
0; 2; 0; 0; 962; -17.4252
0; 5; 0; 0; 962; -17.4252
0; 0; 2; 0; 962; -17.4252
0; 3; 0; 0; 962; -17.4252
0; 4; 0; 0; 834; -16.9316
0; 4; 0; 0; 755; -14.5641
0; 2; 0; 0; 962; -12.4269
0; 0; 5; 0; 962; -12.4269
0; 5; 0; 0; 962; -12.4269
1; 3; 0; 0; 958; -12.2439
0; 0; 2; 0; 958; -12.2439
0; 1; 0; 0; 46; -15.5329
0; 3; 0; 0; 463; -17.029
0; 5; 0; 0; 394; -8.42317
1; 0; 0; 1; 562; -12.0899
0; 0; 4; 0; 256; -13.6294
0; 0; 5; 0; 375; -8.94145
0; 2; 0; 0; 245; -9.06106
0; 0; 2; 0; 261; -9.01094
0; 1; 0; 0; 10; -18.5325
1; 2; 0; 0; 860; -13.0049
1; 0; 2; 0; 556; -22.2692
0; 5; 0; 0; 875; -18.0719
0; 3; 0; 0; 521; -16.2985
0; 1; 0; 0; 521; -16.2985
0; 5; 0; 0; 521; -16.2985
0; 0; 1; 0; 521; -16.2985
0; 0; 4; 0; 218; -16.9312
0; 1; 0; 0; 600; -11.528
0; 0; 3; 0; 203; -12.1486
0; 0; 4; 0; 344; -10.9985
0; 0; 4; 0; 329; -17.3722
0; 0; 4; 0; 501; -17.3356
1; 1; 0; 0; 639; -23.1058
0; 0; 1; 0; 468; -14.5035
0; 0; 3; 0; 923; -14.5168
0; 4; 0; 0; 622; -17.8364
0; 0; 5; 0; 10; -17.014
0; 0; 2; 0; 86; -13.4546
0; 0; 1; 0; 245; -12.696
0; 0; 4; 0; 245; -12.696
0; 0; 3; 0; 245; -12.696
0; 3; 0; 0; 16; -12.7855
0; 3; 0; 0; 205; -16.9952
0; 2; 0; 0; 205; -18.2845
0; 2; 0; 0; 340; -19.7377
0; 0; 4; 0; 385; -17.0202
0; 3; 0; 0; 694; -6.12376
0; 4; 0; 0; 717; -4.05237
0; 0; 3; 0; 717; -4.7947
0; 2; 0; 0; 994; -4.70912
0; 2; 0; 0; 170; -8.09236
1; 1; 0; 0; 687; -21.3226
0; 3; 0; 0; 83; -16.3424
0; 0; 3; 0; 624; -16.4877
0; 5; 0; 0; 854; -21.9533
0; 5; 0; 0; 340; -20.2578
0; 0; 3; 0; 752; -26.0467
0; 3; 0; 0; 190; -25.475
1; 0; 2; 0; 305; -16.9519
0; 5; 0; 0; 16; -10.951
0; 0; 3; 0; 16; -10.951
0; 0; 3; 0; 327; -10.7858
0; 0; 2; 0; 109; -19.6689
0; 0; 1; 0; 99; -16.891
1; 0; 4; 0; 923; -13.6434
0; 0; 5; 0; 609; -15.3693
0; 2; 0; 0; 236; -18.0906
0; 0; 3; 0; 19; -18.5353
0; 5; 0; 0; 245; -17.9036
0; 3; 0; 0; 928; -17.4086
0; 0; 4; 0; 616; -15.1697
0; 2; 0; 0; 315; -17.2378
0; 4; 0; 0; 53; -23.7923
0; 3; 0; 0; 292; -9.2885
0; 0; 3; 0; 567; -11.5922
0; 5; 0; 0; 567; -11.5922
0; 4; 0; 0; 994; -12.943
0; 4; 0; 0; 958; -9.1063
0; 0; 1; 0; 958; -9.1063
0; 0; 2; 0; 42; -10.4339
0; 0; 4; 0; 630; -11.2923
0; 4; 0; 0; 630; -11.2923
0; 0; 5; 0; 933; -13.0127
0; 4; 0; 0; 763; -10.3048
0; 0; 3; 0; 304; -14.8098
1; 1; 0; 0; 717; -14.565
0; 0; 2; 0; 449; -16.4333
0; 5; 0; 0; 547; -16.16
0; 0; 1; 0; 803; -16.7906
0; 0; 1; 0; 53; -20.7021
0; 0; 1; 0; 633; -15.7356
0; 0; 4; 0; 723; -13.8525
0; 0; 4; 0; 86; -8.33126
0; 0; 4; 0; 86; -8.33126
0; 4; 0; 0; 86; -8.33126
1; 0; 2; 0; 66; -18.1219
0; 0; 4; 0; 207; -13.5435
0; 2; 0; 0; 207; -13.5435
0; 1; 0; 0; 355; -15.5343
0; 4; 0; 0; 485; -25.5243
0; 3; 0; 0; 468; -20.6593
0; 0; 5; 0; 325; -26.3985
0; 0; 4; 0; 737; -22.7363
0; 5; 0; 0; 80; -19.9225
0; 3; 0; 0; 919; -20.0795
0; 0; 5; 0; 771; -17.4629
0; 0; 2; 0; 562; -14.1864
1; 0; 0; 1; 466; -14.0285
0; 0; 3; 0; 466; -14.0285
0; 0; 4; 0; 858; -18.2515
0; 0; 3; 0; 250; -20.9215
0; 3; 0; 0; 571; -16.4417
0; 0; 4; 0; 678; -19.6411
0; 3; 0; 0; 242; -19.3128
0; 0; 3; 0; 824; -16.7027
0; 3; 0; 0; 933; -19.6107
0; 3; 0; 0; 252; -13.3706
0; 0; 5; 0; 994; -12.32
0; 0; 2; 0; 717; -17.7516
0; 4; 0; 0; 532; -14.5461
0; 4; 0; 0; 913; -14.3576
0; 5; 0; 0; 436; -16.1641
0; 3; 0; 0; 252; -14.2038
0; 0; 5; 0; 717; -10.208
0; 0; 2; 0; 216; -7.06236
0; 2; 0; 0; 109; -12.8773
0; 0; 4; 0; 693; -18.4299
0; 2; 0; 0; 752; -12.5545
0; 0; 1; 0; 274; -15.4867
0; 5; 0; 0; 207; -11.4325
0; 4; 0; 0; 274; -10.5745
0; 0; 5; 0; 717; -11.3186
0; 4; 0; 0; 16; -7.66196
0; 4; 0; 0; 468; -8.53863
0; 4; 0; 0; 757; -14.5726
0; 0; 3; 0; 789; -22.2935
0; 4; 0; 0; 61; -22.904
0; 2; 0; 0; 344; -14.4418
0; 3; 0; 0; 344; -14.4418
0; 3; 0; 0; 816; -20.3195
0; 0; 2; 0; 466; -5.10073
0; 0; 2; 0; 466; -5.10073
0; 0; 3; 0; 466; -5.10073
0; 1; 0; 0; 466; -5.10073
1; 0; 0; 1; 466; -5.10073
1; 0; 0; 1; 466; -5.10073
0; 0; 3; 0; 466; -5.10073
0; 3; 0; 0; 466; -5.10073
0; 0; 2; 0; 466; -5.10073
0; 0; 4; 0; 466; -5.10073
0; 0; 2; 0; 696; -7.9262
0; 0; 4; 0; 878; -8.34883
0; 1; 0; 0; 696; -5.73506
0; 0; 5; 0; 310; -3.77806
0; 0; 4; 0; 994; -3.45869
0; 5; 0; 0; 994; -3.45869
0; 0; 2; 0; 994; -3.45869
0; 3; 0; 0; 994; -3.45869
0; 0; 4; 0; 994; -3.45869
0; 0; 3; 0; 555; -8.60743
0; 3; 0; 0; 63; -11.9993
0; 3; 0; 0; 19; -15.7033
1; 0; 0; 1; 73; -16.0582
0; 0; 2; 0; 242; -15.4074
0; 2; 0; 0; 404; -16.9488
0; 2; 0; 0; 72; -13.0907
0; 2; 0; 0; 72; -13.0907
0; 5; 0; 0; 710; -13.4431
0; 5; 0; 0; 206; -7.88415
0; 0; 4; 0; 206; -7.88415
0; 0; 2; 0; 789; -14.3544
0; 1; 0; 0; 13; -12.2008
0; 4; 0; 0; 555; -14.7162
0; 0; 5; 0; 206; -18.3437
0; 0; 4; 0; 450; -29.0004
0; 0; 2; 0; 287; -29.9585
0; 5; 0; 0; 436; -16.1415
0; 0; 3; 0; 807; -17.4673
1; 0; 1; 0; 24; -19.5489
